Functions,X,Y,index,,,
expectancy,0.562948,3.713116,0.00156,,,
expectation,0.374307,2.389481,-0.00023,,,
expectations,-0.532549,1.551975,0.147,,,
explicit,-0.10214,3.473191,-0.00019,,,
exploration,0.884152,3.156786,-0.00029,,,
expression,1.340839,0.313311,0.38563,,,
expressions,1.950281,-1.220347,0.66586,,,
eye,3.329164,4.598372,0.58658,,,
eye_field,3.237668,4.432282,0.39414,,,
eye_fields,3.305665,4.54261,0.53581,,,
eye_movement,2.158212,3.88658,0.07235,,,
eye_movements,3.27856,4.639627,0.53257,,,
eyes,0.945032,3.773556,-0.00028,,,
face,2.41889,-1.116103,0.24859,,,
face_recognition,1.424771,6.274646,0.06063,,,
faces,2.255027,-1.175465,0.43594,,,
facial,1.952494,-1.221119,0.65461,,,
facial_expression,1.289104,0.573382,0.23258,,,
facial_expressions,1.919284,-1.123642,0.65099,,,
familiar,0.991525,6.178445,0.17282,,,
familiarity,-0.204153,4.5223,0.01773,,,
fear,2.056968,-1.336333,0.76412,,,
fearful,1.981193,-1.338202,0.74998,,,
fearful_faces,1.751101,-1.133083,0.62748,,,
feeling,0.27956,2.996911,0.00891,,,
feelings,1.020863,1.127226,0.10842,,,
finger,4.035585,2.751986,0.78405,,,
finger_movements,3.698596,3.112373,0.63827,,,
finger_tapping,3.481359,2.893074,0.52215,,,
flexibility,0.572591,4.038916,-0.00016,,,
fluency,0.620193,5.282285,0.15001,,,
food,0.670428,1.712175,0.01662,,,
foot,3.06765,2.705236,0.32515,,,
form,0.418599,6.283021,0.40672,,,
forms,0.451457,5.669673,0.15685,,,
gain,-1.47604,0.552487,0.47736,,,
gains,-1.585532,0.436968,0.57284,,,
gambling,-1.445089,0.648787,0.37218,,,
game,-1.37983,0.749826,0.34402,,,
gaze,2.699936,5.718523,0.23947,,,
gestures,2.89761,6.20721,0.28252,,,
goal,1.535381,3.931465,-0.00033,,,
goal_directed,-0.386064,3.303333,0.00878,,,
goals,1.63418,3.441491,-0.00021,,,
grasping,2.578874,3.572884,0.30805,,,
hand,3.937051,2.836713,0.78256,,,
hand_movements,3.00882,2.980759,0.43927,,,
